maand;adValoremSig;bijzonderAdValoremSig;specifiekeAccijnsSig;bijzonderSpecifiekeAccijnsSig;minimumSig;adValoremTabak;bijzonderAdValoremTabak;specifiekeAccijnsTabak;bijzonderSpecifiekeAccijnsTabak;minimumTabak
1/01/2020;0,4584;0;6,8914;41,7409;189,4645;0,315;0;0;48,6003;87,0747
1/12/2019;0,4584;0;6,8914;41,5519;182,4645;0,315;0;0;48,0389;80,0747
1/11/2019;0,4584;0;6,8914;41,5519;182,4645;0,315;0;0;48,0389;80,0747
1/10/2019;0,4584;0;6,8914;41,5519;182,4645;0,315;0;0;48,0389;80,0747
1/09/2019;0,4584;0;6,8914;41,5519;182,4645;0,315;0;0;48,0389;80,0747
1/08/2019;0,4584;0;6,8914;41,5519;182,4645;0,315;0;0;48,0389;80,0747
1/07/2019;0,4584;0;6,8914;41,5519;182,4645;0,315;0;0;48,0389;80,0747
1/06/2019;0,4584;0;6,8914;41,5519;182,4645;0,315;0;0;48,0389;80,0747
1/05/2019;0,4584;0;6,8914;41,5519;182,4645;0,315;0;0;48,0389;80,0747
1/04/2019;0,4584;0;6,8914;41,5519;182,4645;0,315;0;0;48,0389;80,0747
1/03/2019;0,4584;0;6,8914;41,5519;182,4645;0,315;0;0;48,0389;80,0747
1/02/2019;0,4584;0;6,8914;41,5519;182,4645;0,315;0;0;48,0389;80,0747
1/01/2019;0,4584;0;6,8914;41,5519;182,4645;0,315;0;0;48,0389;80,0747
1/12/2018;0,4584;0;6,8914;39,4523;175,4645;0,315;0;0;42,3465;73,0747
1/11/2018;0,4584;0;6,8914;39,4523;175,4645;0,315;0;0;42,3465;73,0747
1/10/2018;0,4584;0;6,8914;39,4523;175,4645;0,315;0;0;42,3465;73,0747
1/09/2018;0,4584;0;6,8914;39,4523;175,4645;0,315;0;0;42,3465;73,0747
1/08/2018;0,4584;0;6,8914;39,4523;175,4645;0,315;0;0;42,3465;73,0747
1/07/2018;0,4584;0;6,8914;39,4523;175,4645;0,315;0;0;42,3465;73,0747
1/06/2018;0,4584;0;6,8914;39,4523;175,4645;0,315;0;0;42,3465;73,0747
1/05/2018;0,4584;0;6,8914;39,4523;175,4645;0,315;0;0;42,3465;73,0747
1/04/2018;0,4584;0;6,8914;39,4523;175,4645;0,315;0;0;42,3465;73,0747
1/03/2018;0,4584;0;6,8914;39,4523;175,4645;0,315;0;0;42,3465;73,0747
1/02/2018;0,4584;0;6,8914;39,4523;175,4645;0,315;0;0;42,3465;73,0747
1/01/2018;0,4584;0;6,8914;39,4523;175,4645;0,315;0;0;42,3465;73,0747
1/12/2017;0,4584;0;6,8914;35,778;168,4645;0,315;0;0;32,3061;66,0747
1/11/2017;0,4584;0;6,8914;35,778;168,4645;0,315;0;0;32,3061;66,0747
1/10/2017;0,4584;0;6,8914;35,778;168,4645;0,315;0;0;32,3061;66,0747
1/09/2017;0,4584;0;6,8914;35,778;168,4645;0,315;0;0;32,3061;66,0747
1/08/2017;0,4584;0;6,8914;35,778;168,4645;0,315;0;0;32,3061;66,0747
1/07/2017;0,4584;0;6,8914;35,778;168,4645;0,315;0;0;32,3061;66,0747
1/06/2017;0,4584;0;6,8914;35,778;168,4645;0,315;0;0;32,3061;66,0747
1/05/2017;0,4584;0;6,8914;35,778;168,4645;0,315;0;0;32,3061;66,0747
1/04/2017;0,4584;0;6,8914;35,778;168,4645;0,315;0;0;32,3061;66,0747
1/03/2017;0,4584;0;6,8914;35,778;168,4645;0,315;0;0;32,3061;66,0747
1/02/2017;0,4584;0;6,8914;35,778;168,4645;0,315;0;0;32,3061;66,0747
1/01/2017;0,4584;0;6,8914;35,778;168,4645;0,315;0;0;32,3061;66,0747
1/12/2016;0,4584;0;6,8914;32,6286;161,9645;0,315;0;0;23,7;61,0747
1/11/2016;0,4584;0;6,8914;32,6286;161,9645;0,315;0;0;23,7;61,0747
1/10/2016;0,4584;0;6,8914;32,6286;161,9645;0,315;0;0;23,7;61,0747
1/09/2016;0,4584;0;6,8914;32,6286;161,9645;0,315;0;0;23,7;61,0747
1/08/2016;0,4584;0;6,8914;32,6286;161,9645;0,315;0;0;23,7;61,0747
1/07/2016;0,4584;0;6,8914;32,6286;161,9645;0,315;0;0;23,7;61,0747
1/06/2016;0,4584;0;6,8914;32,6286;161,4645;0,315;0;0;23,7;59,0747
1/05/2016;0,4584;0;6,8914;32,6286;161,4645;0,315;0;0;23,7;59,0747
1/04/2016;0,4584;0;6,8914;32,6286;161,4645;0,315;0;0;23,7;59,0747
1/03/2016;0,4584;0;6,8914;32,6286;161,4645;0,315;0;0;23,7;59,0747
1/02/2016;0,4584;0;6,8914;32,6286;161,4645;0,315;0;0;23,7;59,0747
1/01/2016;0,4584;0;6,8914;32,6286;161,4645;0,315;0;0;23,7;59,0747
1/12/2015;0,4584;0;6,8914;30;154,4645;0,315;0;0;16,5;52,0474
1/11/2015;0,4584;0;6,8914;30;154,4645;0,315;0;0;16,5;52,0474
1/10/2015;0,4584;0;6,8914;30;154,4645;0,315;0;0;16,5;52,0474
1/09/2015;0,4584;0;6,8914;30;154,4645;0,315;0;0;16,5;52,0474
1/08/2015;0,4584;0;6,8914;30;154,4645;0,315;0;0;16,5;52,0474
1/07/2015;0,4584;0;6,8914;30;154,4645;0,315;0;0;16,5;52,0474
1/06/2015;0,4584;0;6,8914;30;154,4645;0,315;0;0;16,5;52,0474
1/05/2015;0,4584;0;6,8914;30;154,4645;0,315;0;0;16,5;52,0474
1/04/2015;0,4584;0;6,8914;30;154,4645;0,315;0;0;16,5;52,0474
1/03/2015;0,4584;0;6,8914;30;154,4645;0,315;0;0;16,5;52,0474
1/02/2015;0,4584;0;6,8914;30;154,4645;0,315;0;0;16,5;52,0474
1/01/2015;0,4584;0;6,8914;30;154,4645;0,315;0;0;16,5;52,0474
1/12/2014;0,4584;0,0457;6,8914;16,7;134;0,315;0;0;14,5;47
1/11/2014;0,4584;0,0457;6,8914;16,7;134;0,315;0;0;14,5;47
1/10/2014;0,4584;0,0457;6,8914;16,7;134;0,315;0;0;14,5;47
1/09/2014;0,4584;0,0457;6,8914;16,7;134;0,315;0;0;14,5;47
1/08/2014;0,4584;0,0457;6,8914;16,7;134;0,315;0;0;14,5;47
1/07/2014;0,4584;0,0457;6,8914;16,7;134;0,315;0;0;14,5;47
1/06/2014;0,4584;0,0457;6,8914;16,7;134;0,315;0;0;14,5;47
1/05/2014;0,4584;0,0457;6,8914;16,7;134;0,315;0;0;14,5;47
1/04/2014;0,4584;0,0457;6,8914;16,7;134;0,315;0;0;14,5;47
1/03/2014;0,4584;0,0457;6,8914;16,7;134;0,315;0;0;14,5;47
1/02/2014;0,4584;0,0457;6,8914;16,7;134;0,315;0;0;14,5;47
1/01/2014;0,4584;0,0457;6,8914;16,7;131;0,315;0;0;14,5;45
1/12/2013;0,4584;0,0457;6,8914;15,1;131;0,315;0;0;12,5;45
1/11/2013;0,4584;0,0457;6,8914;15,1;131;0,315;0;0;12,5;45
1/10/2013;0,4584;0,0457;6,8914;15,1;131;0,315;0;0;12,5;45
1/09/2013;0,4584;0,0457;6,8914;15,1;131;0,315;0;0;12,5;45
1/08/2013;0,4584;0,0457;6,8914;15,1;131;0,315;0;0;12,5;45
1/07/2013;0,4584;0,0457;6,8914;15,1;131;0,315;0;0;12,5;45
1/06/2013;0,4584;0,0457;6,8914;15;131;0,315;0;0;12;45
1/05/2013;0,4584;0,0457;6,8914;15;131;0,315;0;0;12;45
1/04/2013;0,4584;0,0457;6,8914;15;131;0,315;0;0;12;45
1/03/2013;0,4584;0,0457;6,8914;15;131;0,315;0;0;12;45
1/02/2013;0,4584;0,0457;6,8914;15;131;0,315;0;0;12;45
1/01/2013;0,4584;0,067;6,8914;9,3581;128;0,315;0;0;11;43
1/12/2012;0,4584;0,067;6,8914;9,3581;128;0,315;0;0;11;43
1/11/2012;0,4584;0,067;6,8914;9,3581;128;0,315;0;0;11;43
1/10/2012;0,4584;0,067;6,8914;9,3581;128;0,315;0;0;11;43
1/09/2012;0,4584;0,067;6,8914;9,3581;128;0,315;0;0;11;43
1/08/2012;0,4584;0,067;6,8914;9,3581;128;0,315;0;0;11;43
1/07/2012;0,4584;0,067;6,8914;9,3581;128;0,315;0;0;11;43
1/06/2012;0,4584;0,067;6,8914;9,0381;128;0,315;0;0;9,5;43
1/05/2012;0,4584;0,067;6,8914;9,0381;128;0,315;0;0;9,5;43
1/04/2012;0,4584;0,067;6,8914;9,0381;128;0,315;0;0;9,5;43
1/03/2012;0,4584;0,067;6,8914;9,0381;128;0,315;0;0;9,5;43
1/02/2012;0,4584;0,067;6,8914;9,0381;128;0,315;0;0;9,5;43
1/01/2012;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/12/2011;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/11/2011;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/10/2011;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/09/2011;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/08/2011;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/07/2011;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/06/2011;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/05/2011;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/04/2011;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/03/2011;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/02/2011;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/01/2011;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/12/2010;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/11/2010;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/10/2010;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/09/2010;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/08/2010;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/07/2010;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/06/2010;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/05/2010;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/04/2010;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/03/2010;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/02/2010;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/01/2010;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/12/2009;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/11/2009;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/10/2009;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/09/2009;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/08/2009;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/07/2009;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/06/2009;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/05/2009;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/04/2009;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/03/2009;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/02/2009;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/01/2009;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/12/2008;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/11/2008;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/10/2008;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/09/2008;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/08/2008;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/07/2008;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/06/2008;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/05/2008;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/04/2008;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/03/2008;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/02/2008;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/01/2008;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/12/2007;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/11/2007;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/10/2007;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/09/2007;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/08/2007;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/07/2007;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/06/2007;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/05/2007;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/04/2007;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/03/2007;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/02/2007;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/01/2007;0,4584;0,0792;6,8914;9,0381;NA;0,315;0;0;7,961;NA
1/12/2006;0,4584;0,0792;6,8914;0;NA;0,315;0;0;4,477;NA
1/11/2006;0,4584;0,0792;6,8914;0;NA;0,315;0;0;4,477;NA
1/10/2006;0,4584;0,0792;6,8914;0;NA;0,315;0;0;4,477;NA
1/09/2006;0,4584;0,0792;6,8914;0;NA;0,315;0;0;4,477;NA
1/08/2006;0,4584;0,0792;6,8914;0;NA;0,315;0;0;4,477;NA
1/07/2006;0,4584;0,0792;6,8914;0;NA;0,315;0;0;4,477;NA
1/06/2006;0,4584;0,0792;6,8914;0;NA;0,315;0,0605;0;0;NA
1/05/2006;0,4584;0,0792;6,8914;0;NA;0,315;0,0605;0;0;NA
1/04/2006;0,4584;0,0792;6,8914;0;NA;0,315;0,0605;0;0;NA
1/03/2006;0,4584;0,0792;6,8914;0;NA;0,315;0,0605;0;0;NA
1/02/2006;0,4584;0,0792;6,8914;0;NA;0,315;0,0605;0;0;NA
1/01/2006;0,4584;0,0792;6,8914;0;NA;0,315;0,0605;0;0;NA
